DateOfTrip,Mobility Aid,Trip Purpose,OrigX,OrigY,DestX,DestY
2023-07-01,WC,Dialysis,36.493,-79.747,36.522,-79.77
2023-07-01,WC,Dialysis,36.522,-79.77,36.493,-79.747
2023-07-01,,Dialysis,36.497,-79.766,36.324,-79.641
2023-07-01,,Dialysis,36.324,-79.641,36.497,-79.766
2023-07-01,,Dialysis,36.489,-79.783,36.493,-79.747
2023-07-01,,Dialysis,36.493,-79.747,36.489,-79.783
2023-07-01,,Dialysis,36.398,-79.742,36.331,-79.692
2023-07-01,,Dialysis,36.331,-79.692,36.398,-79.742
2023-07-01,WK,Dialysis,36.465,-79.898,36.493,-79.747
2023-07-01,WK,Dialysis,36.493,-79.747,36.465,-79.898
2023-07-01,,Dialysis,36.359,-79.68,36.331,-79.692
2023-07-01,,Dialysis,36.331,-79.692,36.359,-79.68
2023-07-01,WC,Dialysis,36.497,-79.772,36.493,-79.747
2023-07-01,,Dialysis,36.403,-79.97,36.324,-79.641
2023-07-01,,Dialysis,36.324,-79.641,36.403,-79.97
2023-07-01,WC,Dialysis,36.325,-79.661,36.331,-79.692
2023-07-01,WC,Dialysis,36.331,-79.692,36.325,-79.661
2023-07-01,WC,Dialysis,36.352,-79.689,36.331,-79.692
2023-07-01,WC,Dialysis,36.331,-79.692,36.352,-79.689
2023-07-01,WC,Dialysis,36.352,-79.657,36.324,-79.641
2023-07-01,,Dialysis,36.353,-79.656,36.324,-79.641
2023-07-01,,Dialysis,36.324,-79.641,36.353,-79.656
2023-07-01,,Dialysis,36.324,-79.641,36.405,-79.828
2023-07-01,WC,Dialysis,36.404,-79.968,36.493,-79.747
2023-07-01,WC,Dialysis,36.493,-79.747,36.404,-79.968
2023-07-01,,Dialysis,36.36,-79.906,36.324,-79.641
2023-07-01,,Dialysis,36.324,-79.641,36.36,-79.906
2023-07-01,WC,Dialysis,36.409,-79.971,36.493,-79.747
2023-07-01,WC,Dialysis,36.493,-79.747,36.409,-79.971
2023-07-01,WK,Dialysis,36.316,-79.95,36.324,-79.641
2023-07-01,WK,Dialysis,36.324,-79.641,36.316,-79.95
2023-07-01,,Dialysis,42.342,-71.05,36.324,-79.641
2023-07-01,,Dialysis,36.324,-79.641,42.342,-71.05
2023-07-01,,Dialysis,36.35,-79.654,36.324,-79.641
2023-07-01,,Dialysis,36.324,-79.641,36.35,-79.654
2023-07-01,,Dialysis,36.492,-79.766,36.493,-79.747
2023-07-01,,Dialysis,36.493,-79.747,36.492,-79.766
2023-07-01,WC,Dialysis,36.363,-79.677,36.324,-79.641
2023-07-01,WC,Dialysis,36.324,-79.641,36.363,-79.677
2023-07-01,,Dialysis,36.362,-79.678,36.324,-79.641
2023-07-01,,Dialysis,36.324,-79.641,36.362,-79.678
2023-07-03,BL,Dialysis,36.369,-79.659,36.331,-79.692
2023-07-03,BL,Dialysis,36.331,-79.692,36.369,-79.659
2023-07-03,WK,Dialysis,36.334,-79.661,36.331,-79.692
2023-07-03,WK,Dialysis,36.331,-79.692,36.334,-79.661
2023-07-03,,Dialysis,36.331,-79.706,36.331,-79.692
2023-07-03,,Dialysis,36.331,-79.692,36.331,-79.706
2023-07-03,WC,Dialysis,36.491,-79.736,36.493,-79.747
2023-07-03,WC,Dialysis,36.493,-79.747,36.491,-79.736
2023-07-03,RL,Dialysis,36.418,-79.77,36.331,-79.692
2023-07-03,RL,Dialysis,36.331,-79.692,36.418,-79.77
2023-07-03,BL,Dialysis,36.343,-79.662,36.493,-79.747
2023-07-03,BL,Dialysis,36.493,-79.747,36.343,-79.662
2023-07-03,,Dialysis,36.37,-79.859,36.331,-79.692
2023-07-03,,Dialysis,36.331,-79.692,36.37,-79.859
2023-07-03,WK,Dialysis,36.355,-79.673,36.331,-79.692
2023-07-03,WK,Dialysis,36.331,-79.692,36.355,-79.673
2023-07-03,,Dialysis,36.454,-79.901,36.324,-79.641
2023-07-03,WK,Dialysis,36.504,-79.632,36.493,-79.747
2023-07-03,WK,Dialysis,36.493,-79.747,36.504,-79.632
2023-07-03,,Dialysis,36.352,-79.689,36.331,-79.692
2023-07-03,,Dialysis,36.331,-79.692,36.352,-79.689
2023-07-03,WC,Dialysis,36.341,-79.765,36.324,-79.641
2023-07-03,WC,Dialysis,36.324,-79.641,36.341,-79.765
2023-07-03,,Dialysis,36.479,-79.783,36.493,-79.747
2023-07-03,,Dialysis,36.493,-79.747,36.479,-79.783
2023-07-03,WK,Dialysis,36.48,-79.659,36.493,-79.747
2023-07-03,WK,Dialysis,36.493,-79.747,36.48,-79.659
2023-07-03,NL,Dialysis,36.488,-79.783,36.324,-79.641
2023-07-03,NL,Dialysis,36.324,-79.641,36.488,-79.783
2023-07-03,WC,Dialysis,36.503,-79.749,36.493,-79.747
2023-07-03,WC,Dialysis,36.493,-79.747,36.503,-79.749
2023-07-03,WK,Dialysis,36.352,-79.689,36.324,-79.641
2023-07-03,WK,Dialysis,36.324,-79.641,36.352,-79.689
2023-07-03,,Dialysis,36.358,-79.674,36.324,-79.641
2023-07-03,,Dialysis,36.324,-79.641,36.358,-79.674
2023-07-03,,Dialysis,36.36,-79.662,36.324,-79.641
2023-07-03,,Dialysis,36.324,-79.641,36.36,-79.662
2023-07-03,,Dialysis,36.493,-79.782,36.493,-79.747
2023-07-03,,Dialysis,36.493,-79.747,36.493,-79.782
2023-07-03,WC,Dialysis,36.352,-79.689,36.331,-79.692
2023-07-03,WC,Dialysis,36.331,-79.692,36.352,-79.689
2023-07-03,,Dialysis,36.35,-79.69,36.324,-79.641
2023-07-03,,Dialysis,36.324,-79.641,36.35,-79.69
2023-07-03,WC,Dialysis,36.334,-79.628,36.331,-79.692
2023-07-03,WC,Dialysis,36.331,-79.692,36.334,-79.628
2023-07-03,,Dialysis,36.276,-79.602,36.324,-79.641
2023-07-03,,Dialysis,36.324,-79.641,36.276,-79.602
2023-07-03,,Dialysis,36.327,-79.676,36.324,-79.641
2023-07-03,,Dialysis,36.324,-79.641,36.327,-79.676
2023-07-03,BL,Dialysis,36.492,-79.766,36.324,-79.641
2023-07-03,BL,Dialysis,36.324,-79.641,36.492,-79.766
2023-07-03,WC,Dialysis,36.326,-79.666,36.331,-79.692
2023-07-03,WC,Dialysis,36.326,-79.666,36.326,-79.666
2023-07-04,WC,Dialysis,36.522,-79.77,36.493,-79.747
2023-07-04,WC,Dialysis,36.493,-79.747,36.522,-79.77
2023-07-04,,Dialysis,36.359,-79.68,36.331,-79.692
2023-07-04,,Dialysis,36.331,-79.692,36.359,-79.68
2023-07-04,,Dialysis,36.497,-79.766,36.324,-79.641
2023-07-04,,Dialysis,36.324,-79.641,36.497,-79.766
2023-07-04,,Dialysis,36.489,-79.783,36.493,-79.747
2023-07-04,,Dialysis,36.493,-79.747,36.489,-79.783
2023-07-04,,Dialysis,36.398,-79.742,36.331,-79.692
2023-07-04,,Dialysis,36.331,-79.692,36.398,-79.742
2023-07-04,,Dialysis,36.403,-79.97,36.324,-79.641
2023-07-04,,Dialysis,36.324,-79.641,36.403,-79.97
2023-07-04,WC,Dialysis,36.325,-79.661,36.331,-79.692
2023-07-04,WC,Dialysis,36.331,-79.692,36.325,-79.661
2023-07-04,WC,Dialysis,36.352,-79.689,36.331,-79.692
2023-07-04,WC,Dialysis,36.331,-79.692,36.352,-79.689
2023-07-04,WC,Dialysis,36.352,-79.657,36.324,-79.641
2023-07-04,WC,Dialysis,36.324,-79.641,36.352,-79.657
2023-07-04,,Dialysis,36.353,-79.656,36.324,-79.641
2023-07-04,,Dialysis,36.324,-79.641,36.353,-79.656
2023-07-04,,Dialysis,36.405,-79.828,36.324,-79.641
2023-07-04,WC,Dialysis,36.404,-79.968,36.493,-79.747
2023-07-04,WC,Dialysis,36.493,-79.747,36.404,-79.968
2023-07-04,,Dialysis,36.36,-79.906,36.324,-79.641
2023-07-04,,Dialysis,36.324,-79.641,36.36,-79.906
2023-07-04,WC,Dialysis,36.409,-79.971,36.493,-79.747
2023-07-04,WC,Dialysis,36.493,-79.747,36.409,-79.971
2023-07-04,WK,Dialysis,36.316,-79.95,36.324,-79.641
2023-07-04,WK,Dialysis,36.324,-79.641,36.316,-79.95
2023-07-04,,Dialysis,42.342,-71.05,36.324,-79.641
2023-07-04,,Dialysis,36.324,-79.641,42.342,-71.05
2023-07-04,,Dialysis,36.492,-79.766,36.493,-79.747
2023-07-04,,Dialysis,36.493,-79.747,36.492,-79.766
2023-07-04,WC,Dialysis,36.363,-79.677,36.324,-79.641
2023-07-04,WC,Dialysis,36.324,-79.641,36.363,-79.677
2023-07-04,,Dialysis,36.362,-79.678,36.324,-79.641
2023-07-04,,Dialysis,36.324,-79.641,36.362,-79.678
2023-07-05,BL,Dialysis,36.369,-79.659,36.331,-79.692
2023-07-05,BL,Dialysis,36.331,-79.692,36.369,-79.659
2023-07-05,WK,Dialysis,36.334,-79.661,36.331,-79.692
2023-07-05,WK,Dialysis,36.331,-79.692,36.334,-79.661
2023-07-05,,Medical,36.488,-79.787,36.496,-79.74
2023-07-05,,Medical,36.496,-79.74,36.488,-79.787
2023-07-05,WK,Medical,36.519,-79.747,36.358,-79.686
2023-07-05,WK,Medical,36.358,-79.686,36.519,-79.747
2023-07-05,,Medical,36.387,-79.997,36.35,-79.665
2023-07-05,,Medical,36.35,-79.665,36.387,-79.997
2023-07-05,,Dialysis,36.331,-79.706,36.331,-79.692
2023-07-05,,Dialysis,36.331,-79.692,36.331,-79.706
2023-07-05,,Medical,36.505,-79.676,36.36,-79.665
2023-07-05,,Medical,36.36,-79.665,36.505,-79.676
2023-07-05,,Medical,36.345,-80.007,36.524,-79.753
2023-07-05,,Medical,36.524,-79.753,36.345,-80.007
2023-07-05,,Medical,36.365,-79.779,36.353,-79.667
2023-07-05,,Medical,36.353,-79.667,36.365,-79.779
2023-07-05,,Medical,36.447,-79.626,36.388,-79.751
2023-07-05,,Nutrition,36.352,-79.682,36.363,-79.67
2023-07-05,,Nutrition,36.363,-79.67,36.352,-79.682
2023-07-05,,Nutrition,36.356,-79.653,36.363,-79.67
2023-07-05,,Nutrition,36.49,-79.729,36.492,-79.764
2023-07-05,,Nutrition,36.492,-79.764,36.49,-79.729
2023-07-05,,Nutrition,36.352,-79.689,36.363,-79.67
2023-07-05,,Nutrition,36.363,-79.67,36.352,-79.689
2023-07-05,,Nutrition,36.358,-79.674,36.363,-79.67
2023-07-05,,Nutrition,36.363,-79.67,36.358,-79.674
2023-07-05,,Nutrition,36.501,-79.784,36.492,-79.764
2023-07-05,,Nutrition,36.492,-79.764,36.501,-79.784
2023-07-05,WC,Dialysis,36.491,-79.736,36.493,-79.747
2023-07-05,WC,Dialysis,36.493,-79.747,36.491,-79.736
2023-07-05,RL,Dialysis,36.418,-79.77,36.331,-79.692
2023-07-05,RL,Dialysis,36.331,-79.692,36.418,-79.77
2023-07-05,BL,Dialysis,36.343,-79.662,36.493,-79.747
2023-07-05,BL,Dialysis,36.493,-79.747,36.343,-79.662
