,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163
1,0.0,10.5,9.917,16.333,13.417,8.167,13.417,10.5,12.833,14.0,9.917,13.417,20.417,14.583,21.583,20.417,16.333,12.25,15.167,13.417,19.25,18.083,32.083,30.333,30.333,35.583,31.5,36.75,28.583,32.083,29.167,26.833,31.5,26.25,16.917,13.417,15.75,15.75,15.75,18.083,17.5,24.5,23.333,23.917,23.333,21.583,26.25,21.583,19.833,21.0,28.583,29.75,23.917,26.833,29.167,25.667,22.75,24.5,22.75,23.333,21.583,21.583,21.0,18.667,21.583,19.833,22.75,26.25,15.75,13.417,16.917,15.167,14.583,13.417,11.667,10.5,11.667,11.083,11.667,10.5,12.833,19.25,16.333,19.833,18.083,22.167,14.0,19.833,19.25,15.167,13.417,19.25,16.333,17.5,18.667,18.667,12.833,14.583,12.25,14.583,15.167,20.417,21.0,18.667,17.5,35.583,35.583,34.417,39.083,30.917,35.0,30.333,33.25,35.583,33.25,35.583,29.75,29.75,28.583,32.083,33.25,33.833,32.667,40.25,31.5,30.333,28.0,29.167,28.0,31.5,31.5,27.417,29.167,29.167,33.25,29.75,24.5,19.833,29.167,24.5,24.5,19.833,25.667,30.917,31.5,29.75,31.5,26.833,25.667,18.667,25.083,26.833,25.667,22.75,26.25,20.417,22.167,22.75,28.583,25.083,26.25,22.167,22.75
2,10.5,0.0,8.75,15.75,12.833,7.583,12.25,11.083,8.167,12.833,9.333,10.5,18.667,13.417,20.417,19.25,15.75,11.083,14.583,12.833,18.083,17.5,30.917,29.167,29.167,34.417,30.333,35.583,27.417,30.917,28.583,25.667,30.333,25.667,15.75,12.25,14.583,12.833,10.5,16.333,16.333,23.333,22.167,22.75,22.167,20.417,25.083,21.0,18.667,19.833,27.417,28.583,23.333,25.667,28.583,25.083,22.167,23.917,21.583,22.167,20.417,20.417,19.833,17.5,20.417,18.667,21.583,25.083,15.167,12.25,15.75,14.0,13.417,12.25,11.083,9.333,10.5,10.5,10.5,9.917,11.667,18.083,15.75,18.667,17.5,21.0,12.833,19.25,18.083,14.583,12.25,18.083,15.75,16.333,17.5,18.083,11.667,14.0,11.083,14.0,14.0,19.25,19.833,18.083,16.917,34.417,34.417,33.25,37.917,30.333,33.833,29.75,32.083,35.0,32.667,34.417,29.167,28.583,27.417,30.917,32.083,32.667,31.5,39.667,30.333,29.167,26.833,28.0,26.833,30.917,30.333,26.25,28.0,28.0,32.083,29.167,23.333,19.25,28.0,23.917,23.917,18.667,25.083,29.75,30.333,28.583,30.333,26.25,24.5,18.083,23.917,25.667,24.5,21.583,25.083,19.25,21.583,21.583,27.417,24.5,25.083,21.0,21.583
3,9.917,9.333,0.0,8.75,6.417,5.833,6.417,8.167,11.667,10.5,6.417,9.917,16.917,11.083,16.917,15.75,11.667,7.583,10.5,7.0,12.25,13.417,27.417,25.667,25.667,30.917,26.833,32.083,23.917,27.417,24.5,22.167,26.833,21.583,13.417,10.5,12.833,12.25,14.583,15.167,14.583,21.583,19.833,20.417,20.417,18.667,22.75,18.083,16.917,18.083,25.083,26.25,21.0,23.917,26.25,22.75,19.833,21.583,19.25,19.833,18.083,18.083,17.5,15.75,18.083,16.917,19.25,22.75,12.25,9.333,12.25,10.5,11.083,9.917,7.583,7.583,7.0,6.417,8.75,7.583,8.75,14.583,11.667,15.167,13.417,17.5,9.333,15.167,14.583,10.5,8.75,14.583,13.417,14.0,15.75,15.75,9.333,11.667,9.333,11.667,11.667,17.5,18.083,15.75,14.583,32.083,32.083,30.917,35.583,26.833,30.333,25.667,28.583,31.5,30.333,32.083,26.833,26.833,25.083,27.417,30.333,30.333,29.167,37.333,26.833,25.667,23.333,24.5,23.333,26.833,26.833,22.75,24.5,24.5,28.583,25.667,19.833,15.167,24.5,19.833,20.417,15.167,21.0,28.0,27.417,25.083,26.833,23.917,22.167,15.75,22.167,23.333,22.75,19.833,22.75,16.917,19.25,19.833,25.083,22.167,22.75,19.25,19.25
4,16.333,15.75,8.167,0.0,8.75,9.917,8.75,10.5,18.083,15.167,11.083,14.0,21.583,15.75,19.25,18.083,14.0,9.917,12.833,9.333,15.167,15.75,29.75,28.0,28.0,33.25,29.167,34.417,26.25,29.75,26.833,24.5,29.167,23.917,16.917,14.0,15.75,16.917,19.25,18.667,17.5,23.917,22.75,23.333,22.75,21.0,25.667,20.417,19.25,20.417,28.0,29.167,23.333,26.25,28.583,25.083,22.167,23.917,22.167,22.75,21.0,21.0,20.417,18.083,21.0,19.25,22.167,25.667,14.583,11.667,14.583,12.833,14.0,12.25,9.917,11.667,9.333,8.75,11.667,11.667,11.083,16.917,14.0,17.5,15.75,19.833,11.667,17.5,16.917,12.833,11.083,16.917,15.75,16.333,18.083,18.083,12.833,15.167,12.833,14.583,14.583,19.833,20.417,18.083,16.917,34.417,34.417,33.25,37.917,29.167,32.667,28.0,30.917,33.833,32.667,35.0,29.167,29.167,28.0,29.75,32.667,33.25,31.5,39.667,29.167,28.0,25.667,26.833,25.667,29.167,29.167,25.083,26.833,26.833,30.917,28.0,22.167,17.5,26.833,22.167,22.75,17.5,23.333,30.333,29.75,27.417,29.167,27.417,24.5,19.25,25.667,26.25,25.083,22.167,25.083,19.25,21.583,22.167,27.417,24.5,26.25,22.75,22.75
5,13.417,12.833,5.833,9.333,0.0,7.583,7.583,7.0,15.167,11.667,8.167,11.083,18.083,12.25,15.167,16.333,12.25,8.75,11.667,5.833,11.083,14.583,28.583,26.833,26.833,32.083,27.417,32.083,24.5,28.0,25.083,22.75,27.417,22.167,13.417,10.5,12.25,13.417,15.75,15.167,14.583,21.583,19.833,20.417,20.417,18.667,22.75,18.667,16.917,18.083,25.083,26.25,21.0,23.917,26.25,22.75,19.833,21.583,19.25,19.833,18.083,18.083,17.5,15.167,18.083,16.917,19.25,22.75,12.833,10.5,12.833,11.667,11.083,10.5,8.75,8.167,8.167,7.0,9.333,8.167,9.917,15.75,12.833,16.333,14.583,18.667,9.917,16.333,15.75,11.667,9.333,15.75,13.417,14.0,15.75,15.75,9.333,11.667,9.333,11.667,11.667,17.5,18.083,15.75,14.583,32.083,32.667,30.917,35.583,27.417,31.5,26.833,29.167,32.083,30.333,32.083,26.833,26.833,25.083,28.583,30.333,30.333,29.167,37.333,28.0,26.25,24.5,25.667,24.5,28.0,27.417,22.75,24.5,25.667,29.167,25.667,21.0,16.333,25.667,21.0,21.0,16.333,22.167,28.0,28.583,26.25,27.417,23.917,22.167,15.75,22.167,23.333,22.75,19.833,22.75,16.917,19.25,19.833,25.667,22.167,22.75,19.25,19.25
6,8.167,7.583,6.417,10.5,7.583,0.0,7.583,8.75,9.917,8.167,4.083,7.0,14.583,8.75,15.75,14.0,10.5,5.833,9.333,7.583,12.833,12.25,25.667,23.917,23.917,29.167,25.667,30.333,22.167,26.25,23.333,20.417,25.667,20.417,10.5,7.583,9.333,9.917,12.25,12.25,11.083,18.083,16.917,17.5,16.917,15.75,19.833,15.75,13.417,15.167,22.167,23.333,18.083,20.417,23.333,19.833,16.917,18.667,16.333,16.917,15.167,15.167,14.583,12.25,15.167,14.0,16.333,19.833,9.917,7.0,10.5,8.75,8.167,7.0,5.833,4.083,5.25,5.25,5.25,4.667,6.417,12.833,10.5,13.417,12.25,15.75,7.583,14.0,12.833,9.333,7.0,12.833,10.5,11.083,12.25,12.833,6.417,8.75,5.833,8.75,8.75,14.0,14.583,12.833,11.667,29.167,29.167,28.0,32.667,25.083,28.583,24.5,26.833,29.75,27.417,29.167,23.917,23.333,22.167,25.667,27.417,27.417,26.25,34.417,25.083,23.917,21.583,22.75,21.583,25.667,25.083,21.0,22.75,22.75,26.833,23.917,18.083,14.0,22.75,18.667,18.667,13.417,19.833,24.5,25.083,23.333,25.083,21.0,19.25,12.833,18.667,20.417,19.25,16.333,19.833,14.0,16.333,16.333,22.167,19.25,19.833,15.75,16.333
7,13.417,12.25,6.417,8.75,7.583,7.0,0.0,9.917,14.583,11.667,7.583,11.083,18.083,12.25,16.333,15.167,11.083,7.0,9.917,8.75,14.0,12.833,26.833,24.5,24.5,29.75,26.25,30.917,23.333,26.833,23.917,21.583,26.25,21.0,14.0,10.5,12.833,13.417,16.333,15.167,14.583,21.0,19.25,19.833,19.833,18.083,22.167,17.5,16.333,17.5,24.5,25.667,20.417,23.333,25.667,22.167,19.25,21.0,18.667,19.25,17.5,17.5,16.917,14.583,17.5,16.333,18.667,22.167,11.667,8.75,11.083,9.917,10.5,9.333,7.0,8.167,5.833,5.25,8.75,8.75,7.583,14.0,11.083,14.583,12.833,16.333,8.167,14.583,14.0,9.917,7.583,13.417,12.25,13.417,14.583,15.167,9.917,12.25,9.333,11.667,11.083,16.333,17.5,15.167,14.0,30.917,31.5,29.75,34.417,25.667,29.167,25.083,27.417,30.333,29.167,31.5,26.25,26.25,24.5,26.833,29.75,29.75,28.0,36.75,25.667,24.5,22.167,23.917,22.75,26.25,25.667,21.583,23.333,23.917,27.417,24.5,18.667,14.583,23.917,19.25,19.25,14.583,20.417,27.417,26.833,24.5,25.667,23.917,21.583,15.75,22.167,22.75,22.167,19.25,22.167,16.333,18.667,19.25,24.5,21.583,23.333,19.25,19.833
8,9.917,11.083,7.583,10.5,6.417,8.167,8.75,0.0,13.417,12.833,9.333,11.667,19.25,13.417,16.917,17.5,14.0,10.5,13.417,7.0,12.25,16.333,30.333,28.0,28.0,33.25,29.167,33.833,26.25,29.75,26.833,24.5,29.167,23.917,14.583,11.083,13.417,14.583,16.917,15.75,15.167,22.167,21.0,21.583,21.0,19.25,23.917,19.833,17.5,18.667,26.25,27.417,21.583,24.5,27.417,23.333,21.0,22.75,20.417,21.0,19.25,19.25,18.667,16.333,19.25,17.5,20.417,23.917,14.0,11.667,14.583,13.417,12.25,11.083,10.5,8.75,9.333,8.75,9.917,9.333,11.083,17.5,14.583,18.083,16.333,19.833,11.667,18.083,17.5,13.417,11.083,16.917,14.583,15.167,16.333,16.333,10.5,12.833,9.917,12.833,12.833,18.083,18.667,16.917,15.75,33.25,33.25,32.083,36.75,29.167,32.667,28.583,30.917,33.833,30.917,33.25,28.0,27.417,26.25,30.333,30.917,31.5,30.333,37.917,29.167,28.0,25.667,27.417,26.25,29.167,29.167,24.5,26.25,27.417,30.917,27.417,22.167,18.083,27.417,22.75,22.75,18.083,23.917,28.583,29.167,27.417,29.167,24.5,23.333,16.333,22.75,24.5,23.333,20.417,23.917,18.083,19.833,20.417,26.25,23.333,23.917,19.833,20.417
9,13.417,8.75,12.25,18.667,15.75,10.5,15.75,14.583,0.0,16.333,12.25,15.167,22.75,16.917,23.917,22.167,18.667,14.0,17.5,15.75,21.0,20.417,33.833,32.083,32.083,37.333,33.833,38.5,30.333,34.417,31.5,28.583,33.833,28.583,18.667,15.75,17.5,18.083,15.75,20.417,19.25,26.25,25.083,25.667,25.083,23.917,28.0,23.917,21.583,23.333,30.333,31.5,26.25,28.583,31.5,28.0,25.083,26.833,24.5,25.083,23.333,23.333,22.75,20.417,23.333,22.167,24.5,28.0,18.083,15.167,18.667,16.917,16.333,15.167,14.0,12.25,13.417,13.417,13.417,12.833,14.583,21.0,18.667,21.583,20.417,23.917,15.75,22.167,21.0,17.5,15.167,21.0,18.667,19.25,20.417,21.0,14.583,16.917,14.0,16.917,16.917,22.167,22.75,21.0,19.833,37.333,37.333,36.167,40.833,33.25,36.75,32.667,35.0,37.917,35.583,37.333,32.083,31.5,30.333,33.833,35.583,35.583,34.417,42.583,33.25,32.083,29.75,30.917,29.75,33.833,33.25,29.167,30.917,30.917,35.0,32.083,26.25,22.167,30.917,26.833,26.833,21.583,28.0,32.667,33.25,31.5,33.25,29.167,27.417,21.0,26.833,28.583,27.417,24.5,28.0,22.167,24.5,24.5,30.333,27.417,28.0,23.917,24.5
10,14.583,13.417,11.667,15.75,12.25,8.167,12.25,13.417,16.333,0.0,5.833,3.5,11.083,6.417,20.417,19.25,15.75,11.083,14.583,11.667,17.5,16.917,30.333,28.583,28.583,33.25,30.333,35.583,27.417,30.917,28.583,25.667,30.333,25.667,9.333,7.583,12.833,6.417,8.75,9.333,14.0,21.0,19.25,19.833,19.833,18.083,22.167,18.083,16.333,17.5,24.5,25.667,20.417,23.333,25.667,22.167,19.25,21.0,18.667,19.25,17.5,17.5,16.917,15.167,17.5,16.333,18.667,22.167,12.25,9.917,14.583,12.833,10.5,9.917,9.333,8.167,10.5,9.917,9.333,5.833,10.5,17.5,14.583,18.083,16.333,20.417,12.833,18.083,18.083,13.417,11.667,17.5,12.833,13.417,14.583,15.167,8.75,7.0,6.417,11.667,11.083,16.917,17.5,15.167,14.0,31.5,32.083,30.333,35.0,27.417,32.083,27.417,29.75,32.667,29.75,31.5,26.25,26.25,24.5,28.583,29.75,29.75,28.583,36.75,29.75,28.583,26.25,27.417,26.25,28.0,27.417,26.25,28.0,27.417,30.917,29.167,22.75,18.083,27.417,22.75,22.75,18.083,23.917,27.417,28.0,25.667,28.0,23.333,21.583,14.0,20.417,22.75,22.167,19.25,22.167,16.333,18.667,19.25,25.083,21.583,22.75,19.25,19.25
