origin_zone,dest_zone,trips,travel_time,distance_miles
1,62,1,37,21.583
1,63,5,36,21.0
1,64,1,32,18.667
1,66,3,34,19.833
1,70,2,23,13.417
1,76,150,18,10.5
1,77,2,20,11.667
1,81,27,22,12.833
1,82,1,33,19.25
2,70,210,21,12.25
2,81,3,20,11.667
2,82,6,31,18.083
3,64,2,27,15.75
3,70,7,16,9.333
3,73,1,19,11.083
3,77,1,12,7.0
3,81,10,15,8.75
3,83,3,20,11.667
4,81,1,19,11.083
5,77,5,14,8.167
5,81,7,17,9.917
6,63,1,25,14.583
6,66,2,24,14.0
6,69,5,17,9.917
6,70,30,12,7.0
7,7,1,0,0.0
7,75,2,12,7.0
7,77,1,10,5.833
7,81,12,13,7.583
8,77,101,16,9.333
8,81,12,19,11.083
8,82,5,30,17.5
8,84,1,31,18.083
9,63,1,39,22.75
9,70,1,26,15.167
9,81,9,25,14.583
10,81,1,18,10.5
11,81,78,13,7.583
12,77,1,16,9.333
13,81,4,28,16.333
13,82,8,41,23.917
13,83,4,36,21.0
14,70,1,16,9.333
14,77,15,18,10.5
14,81,16,18,10.5
14,129,3,44,25.667
15,62,1,40,23.333
15,66,1,37,21.583
15,81,1,25,14.583
16,69,9,27,15.75
16,81,1,22,12.833
16,82,3,31,18.083
17,63,1,30,17.5
17,70,1,16,9.333
17,81,5,16,9.333
17,82,2,25,14.583
18,70,69,10,5.833
19,70,61,14,8.167
19,77,1,9,5.25
19,81,10,14,8.167
20,75,1,15,8.75
20,83,91,22,12.833
21,63,7,41,23.917
22,129,1,35,20.417
23,23,1,0,0.0
23,70,93,39,22.75
24,24,2,0,0.0
24,63,12,31,18.083
24,66,1,34,19.833
24,77,54,34,19.833
24,81,15,34,19.833
24,83,10,28,16.333
24,129,21,6,3.5
25,25,1,0,0.0
25,62,1,34,19.833
25,63,1,28,16.333
25,81,2,35,20.417
25,82,6,30,17.5
25,129,20,6,3.5
25,130,1,13,7.583
26,77,2,43,25.083
27,82,1,36,21.0
27,84,2,30,17.5
27,129,1,14,8.167
28,61,1,48,28.0
29,83,1,38,22.167
30,77,3,39,22.75
30,81,4,45,26.25
31,110,2,30,17.5
32,77,1,28,16.333
32,129,4,28,16.333
33,33,2,0,0.0
33,66,1,43,25.083
33,76,165,46,26.833
33,83,1,38,22.167
34,82,2,33,19.25
35,66,11,28,16.333
36,81,3,15,8.75
37,62,2,27,15.75
37,63,1,26,15.167
37,64,2,22,12.833
37,66,5,24,14.0
37,81,1,17,9.917
38,63,7,32,18.667
38,81,16,20,11.667
39,6,5,21,12.25
39,39,1,0,0.0
39,63,4,36,21.0
39,69,3,28,16.333
39,73,3,25,14.583
39,81,11,24,14.0
39,131,1,54,31.5
40,63,1,31,18.083
40,77,2,23,13.417
41,41,1,0,0.0
41,66,28,28,16.333
42,42,2,0,0.0
42,63,7,11,6.417
42,66,10,13,7.583
42,70,121,23,13.417
42,77,1,28,16.333
42,81,3,29,16.917
42,82,3,25,14.583
42,83,1,25,14.583
42,84,4,24,14.0
43,43,4,0,0.0
43,61,26,12,7.0
43,62,17,14,8.167
43,63,389,8,4.667
43,64,6,12,7.0
43,65,2,13,7.583
43,66,64,11,6.417
43,70,15,21,12.25
43,73,1,19,11.083
43,76,152,29,16.917
43,77,8,25,14.583
43,81,72,26,15.167
43,82,12,23,13.417
43,83,13,22,12.833
43,84,7,22,12.833
43,85,9,22,12.833
43,129,10,26,15.167
43,131,1,23,13.417
44,63,2,12,7.0
44,65,2,18,10.5
44,81,1,27,15.75
45,45,1,0,0.0
45,61,28,8,4.667
45,62,4,15,8.75
45,63,12,8,4.667
45,66,15,10,5.833
45,81,10,26,15.167
45,82,3,25,14.583
45,129,4,31,18.083
45,154,172,15,8.75
46,46,13,0,0.0
46,61,29,6,3.5
46,62,44,12,7.0
46,63,326,5,2.917
46,64,25,10,5.833
46,65,22,9,5.25
46,66,177,7,4.083
46,69,2,20,11.667
46,70,364,18,10.5
46,73,1,16,9.333
46,75,23,26,15.167
46,76,185,26,15.167
46,77,52,23,13.417
46,80,3,25,14.583
46,81,162,24,14.0
46,82,17,23,13.417
46,83,30,22,12.833
46,84,6,21,12.25
46,97,1,23,13.417
46,110,6,25,14.583
46,119,2,20,11.667
46,129,9,28,16.333
46,131,2,26,15.167
47,47,1,0,0.0
47,63,1,14,8.167
47,66,6,14,8.167
47,75,2,35,20.417
47,81,1,32,18.667
48,70,9,18,10.5
48,82,1,16,9.333
49,66,1,9,5.25
49,70,1,15,8.75
49,81,3,20,11.667
50,50,1,0,0.0
50,64,1,11,6.417
50,77,6,21,12.25
51,51,1,0,0.0
51,76,93,37,21.583
52,62,1,28,16.333
52,66,3,24,14.0
52,81,2,37,21.583
52,82,2,33,19.25
53,81,3,27,15.75
54,62,12,23,13.417
54,63,20,18,10.5
54,81,1,32,18.667
55,77,1,35,20.417
56,62,2,22,12.833
56,63,5,16,9.333
56,64,1,18,10.5
56,65,1,22,12.833
56,66,15,19,11.083
56,73,2,24,14.0
56,81,4,32,18.667
56,82,2,28,16.333
56,83,12,28,16.333
56,84,1,27,15.75
56,85,43,28,16.333
56,129,8,27,15.75
57,64,8,11,6.417
57,66,2,13,7.583
57,70,1,19,11.083
57,82,13,22,12.833
57,83,9,21,12.25
58,58,1,0,0.0
58,61,35,9,5.25
58,62,2,17,9.917
58,63,12,14,8.167
58,64,9,15,8.75
58,65,4,14,8.167
58,66,27,11,6.417
58,77,2,28,16.333
58,81,1,29,16.917
58,83,2,30,17.5
59,59,1,0,0.0
59,62,6,13,7.583
59,63,20,10,5.833
59,64,6,11,6.417
59,65,7,6,3.5
59,66,36,6,3.5
59,70,4,19,11.083
59,75,6,28,16.333
