from_id,to_id,travel_time
872a8bc2affffff,872a8bc2affffff,0
872a8bc2affffff,872a8bc23ffffff,8
872a8bc2affffff,872a8bc05ffffff,5
872a8bc2affffff,872a8bc49ffffff,24
872a8bc2affffff,872a8bc01ffffff,8
872a8bc2affffff,872a8bc50ffffff,23
872a8bc2affffff,872a8bc4affffff,21
872a8bc2affffff,872a8bca9ffffff,20
872a8bc2affffff,872a8bc4effffff,21
872a8bc2affffff,872a8bcd6ffffff,26
872a8bc2affffff,872a8bc48ffffff,24
872a8bc2affffff,872a8bc4cffffff,21
872a8bc2affffff,872a8bcdcffffff,34
872a8bc2affffff,872a8bc8bffffff,26
872a8bc2affffff,872a8b574ffffff,41
872a8bc2affffff,872a8bc41ffffff,16
872a8bc2affffff,872a8bc59ffffff,23
872a8bc2affffff,872a8bc28ffffff,10
872a8bc2affffff,872a8bc56ffffff,19
872a8bc2affffff,872a8bcc0ffffff,41
872a8bc2affffff,872a8bd42ffffff,23
872a8bc2affffff,872a8bc5affffff,30
872a8bc2affffff,872a8bd58ffffff,22
872a8bc2affffff,872a8bc2effffff,6
872a8bc2affffff,872a8bc5dffffff,20
872a8bc2affffff,872a8bc4dffffff,23
872a8bc2affffff,872a8b102ffffff,35
872a8bc2affffff,872a8bc4bffffff,24
872a8bc2affffff,872a8bce0ffffff,28
872a8bc2affffff,872a8b521ffffff,32
872a8bc2affffff,872a8bd53ffffff,11
872a8bc2affffff,872a8b52affffff,44
872a8bc2affffff,872a8bcedffffff,29
872a8bc2affffff,872a8bc64ffffff,18
872a8bc2affffff,872a8bc00ffffff,11
872a8bc2affffff,872a8bc31ffffff,10
872a8bc2affffff,872a8bc51ffffff,22
872a8bc2affffff,872a8bcabffffff,27
872a8bc2affffff,872a8bcd2ffffff,29
872a8bc2affffff,872a8bca8ffffff,23
872a8bc2affffff,872a8bc2bffffff,7
872a8bc2affffff,872a8b12affffff,38
872a8bc2affffff,872a8b104ffffff,34
872a8bc2affffff,872a8bd50ffffff,17
872a8bc2affffff,872a8bcd1ffffff,31
872a8bc2affffff,872a8bc04ffffff,8
872a8bc2affffff,872a8bcacffffff,29
872a8bc2affffff,872a8bcc2ffffff,39
872a8bc2affffff,872a8bd52ffffff,15
872a8bc2affffff,872a8bcadffffff,29
872a8bc2affffff,872a8bc40ffffff,18
872a8bc2affffff,872a8bc2cffffff,8
872a8bc2affffff,872a8bc76ffffff,10
872a8bc2affffff,872a8bce5ffffff,25
872a8bc2affffff,872a8b89affffff,30
872a8bc2affffff,872a8bc21ffffff,10
872a8bc2affffff,872a8bc06ffffff,14
872a8bc2affffff,872a8bc20ffffff,14
872a8bc2affffff,872a8b520ffffff,35
872a8bc2affffff,872a8bc42ffffff,22
872a8bc2affffff,872a8bce1ffffff,22
872a8bc2affffff,872a8b89bffffff,35
872a8bc2affffff,872a8bd6cffffff,28
872a8bc2affffff,872a8b89effffff,30
872a8bc2affffff,872a8bc80ffffff,32
872a8bc2affffff,872a8bc43ffffff,21
872a8bc2affffff,872a8bc68ffffff,21
872a8bc2affffff,872a8b1adffffff,28
872a8bc2affffff,872a8bc44ffffff,14
872a8bc2affffff,872a8bc0dffffff,14
872a8bc2affffff,872a8bc1cffffff,16
872a8bc2affffff,872a8b1a6ffffff,26
872a8bc2affffff,872a8bcdaffffff,29
872a8bc2affffff,872a8bd41ffffff,28
872a8bc2affffff,872a8bd48ffffff,23
872a8bc2affffff,872a8bc45ffffff,16
872a8bc2affffff,872a8bcd0ffffff,30
872a8bc2affffff,872a8bcd4ffffff,27
872a8bc2affffff,872a8b113ffffff,28
872a8bc2affffff,872a8b132ffffff,26
872a8bc2affffff,872a8b114ffffff,24
872a8bc2affffff,872a8b1a2ffffff,28
872a8bc2affffff,872a8b130ffffff,28
872a8bc2affffff,872a8bc89ffffff,26
872a8bc2affffff,872a8b136ffffff,27
872a8bc2affffff,872a8bc62ffffff,16
872a8bc2affffff,872a8bc15ffffff,22
872a8bc2affffff,872a8b116ffffff,28
872a8bc2affffff,872a8bc69ffffff,25
872a8bc2affffff,872a8bc0cffffff,9
872a8bc2affffff,872a8b110ffffff,29
872a8bc2affffff,872a8b195ffffff,35
872a8bc2affffff,872a8bca1ffffff,29
872a8bc2affffff,872a8b135ffffff,39
872a8bc2affffff,872a8bd5bffffff,19
872a8bc2affffff,872a8b896ffffff,25
872a8bc2affffff,872a8bc5cffffff,23
872a8bc2affffff,872a8b525ffffff,30
872a8bc2affffff,872a8bc1dffffff,12
872a8bc2affffff,872a8bc6bffffff,20
872a8bc2affffff,872a8bcddffffff,43
872a8bc2affffff,872a8b11effffff,31
872a8bc2affffff,872a8bd6effffff,25
872a8bc2affffff,872a8bc75ffffff,17
872a8bc2affffff,872a8bd63ffffff,31
872a8bc2affffff,872a8b134ffffff,26
872a8bc2affffff,872a8bc53ffffff,22
872a8bc2affffff,872a8bc82ffffff,33
872a8bc2affffff,872a8bcdbffffff,36
872a8bc2affffff,872a8b562ffffff,44
872a8bc2affffff,872a8bc22ffffff,11
872a8bc2affffff,872a8bcaeffffff,27
872a8bc2affffff,872a8bc03ffffff,13
872a8bc2affffff,872a8bc71ffffff,12
872a8bc2affffff,872a8bcebffffff,32
872a8bc2affffff,872a8bd5affffff,18
872a8bc2affffff,872a8bc33ffffff,16
872a8bc2affffff,872a8bd59ffffff,19
872a8bc2affffff,872a8b565ffffff,39
872a8bc2affffff,872a8bcb0ffffff,41
872a8bc2affffff,872a8bc63ffffff,23
872a8bc2affffff,872a8bc1affffff,19
872a8bc2affffff,872a8bc11ffffff,20
872a8bc2affffff,872a8bc8cffffff,30
872a8bc2affffff,872a8bcf6ffffff,27
872a8bc2affffff,872a8b1b5ffffff,31
872a8bc2affffff,872a8bca2ffffff,32
872a8bc2affffff,872a8bc1bffffff,23
872a8bc2affffff,872a8bcf0ffffff,26
872a8bc2affffff,872a8b1aeffffff,38
872a8bc2affffff,872a8bceeffffff,32
872a8bc2affffff,872a8bc18ffffff,14
872a8bc2affffff,872a8bc52ffffff,21
872a8bc2affffff,872a8bcdeffffff,33
872a8bc2affffff,872a8bc83ffffff,30
872a8bc2affffff,872a8bca5ffffff,23
872a8bc2affffff,872a8b185ffffff,37
872a8bc2affffff,872a8b528ffffff,36
872a8bc2affffff,872a8bc8effffff,35
872a8bc2affffff,872a8b1a4ffffff,23
872a8bc2affffff,872a8bc74ffffff,16
872a8bc2affffff,872a8bd5effffff,17
872a8bc2affffff,872a8bce2ffffff,36
872a8bc2affffff,872a8bc5bffffff,33
872a8bc2affffff,872a8bd4affffff,31
872a8bc2affffff,872a8bcf5ffffff,23
872a8bc2affffff,872a8b8b6ffffff,29
872a8bc2affffff,872a8bc08ffffff,12
872a8bc2affffff,872a8b891ffffff,28
872a8bc2affffff,872a8bc5effffff,28
872a8bc2affffff,872a8b555ffffff,41
872a8bc2affffff,872a8bc66ffffff,18
872a8bc2affffff,872a8b893ffffff,23
872a8bc2affffff,872a8bc86ffffff,38
872a8bc2affffff,872a8b564ffffff,44
872a8bc2affffff,872a8bd5cffffff,28
872a8bc2affffff,872a8bc8affffff,33
872a8bc2affffff,872a8bc72ffffff,13
872a8bc2affffff,872a8b526ffffff,36
872a8bc2affffff,872a8bc6effffff,21
872a8bc2affffff,872a8bcf3ffffff,27
872a8bc2affffff,872a8b112ffffff,33
872a8bc2affffff,872a8b575ffffff,34
872a8bc23ffffff,872a8bc2affffff,8
872a8bc23ffffff,872a8bc23ffffff,0
872a8bc23ffffff,872a8bc05ffffff,5
872a8bc23ffffff,872a8bc49ffffff,26
872a8bc23ffffff,872a8bc01ffffff,11
872a8bc23ffffff,872a8bc50ffffff,25
872a8bc23ffffff,872a8bc4affffff,23
872a8bc23ffffff,872a8bca9ffffff,23
872a8bc23ffffff,872a8bc4effffff,23
872a8bc23ffffff,872a8bcd6ffffff,29
872a8bc23ffffff,872a8bc48ffffff,26
872a8bc23ffffff,872a8bc4cffffff,23
872a8bc23ffffff,872a8bcdcffffff,37
872a8bc23ffffff,872a8bc8bffffff,29
872a8bc23ffffff,872a8b574ffffff,44
872a8bc23ffffff,872a8bc41ffffff,18
872a8bc23ffffff,872a8bc59ffffff,25
872a8bc23ffffff,872a8bc28ffffff,12
872a8bc23ffffff,872a8bc56ffffff,21
872a8bc23ffffff,872a8bcc0ffffff,43
872a8bc23ffffff,872a8bd42ffffff,23
872a8bc23ffffff,872a8bc5affffff,32
872a8bc23ffffff,872a8bd58ffffff,22
872a8bc23ffffff,872a8bc2effffff,5
872a8bc23ffffff,872a8bc5dffffff,22
872a8bc23ffffff,872a8bc4dffffff,25
872a8bc23ffffff,872a8b102ffffff,37
872a8bc23ffffff,872a8bc4bffffff,26
872a8bc23ffffff,872a8bce0ffffff,30
872a8bc23ffffff,872a8b521ffffff,35
872a8bc23ffffff,872a8bd53ffffff,11
872a8bc23ffffff,872a8b52affffff,47
872a8bc23ffffff,872a8bcedffffff,31
872a8bc23ffffff,872a8bc64ffffff,20
872a8bc23ffffff,872a8bc00ffffff,11
872a8bc23ffffff,872a8bc31ffffff,7
872a8bc23ffffff,872a8bc51ffffff,24
872a8bc23ffffff,872a8bcabffffff,30
872a8bc23ffffff,872a8bcd2ffffff,31
872a8bc23ffffff,872a8bca8ffffff,25
872a8bc23ffffff,872a8bc2bffffff,9
872a8bc23ffffff,872a8b12affffff,40
