osmid,x,y
169845997,-79.5238631,36.3991592
169849043,-79.5283664,36.3239886
169867442,-79.5265776,36.34483
171111179,-80.006095,36.256754
173059441,-79.831292,36.293121
173059472,-79.832136,36.295597
173059482,-79.769659,36.276349
173059492,-79.770224,36.279493
173059503,-79.769963,36.282295
173059508,-79.683488,36.345486
173059517,-79.6846772,36.3468229
173059524,-79.6500274,36.3313524
173059538,-79.6524941,36.3298021
173059545,-79.691824,36.399092
173059667,-79.688514,36.398297
173059770,-79.684928,36.409072
173059794,-79.978783,36.416323
173059797,-79.979286,36.415536
173059805,-79.774118,36.382127
173059834,-79.777226,36.3856
173059842,-79.7796925,36.387533
173059879,-79.8378016,36.349951
173059944,-79.761974,36.514584
173059947,-79.763105,36.514641
173059953,-79.6710474,36.3482149
173059966,-79.67302,36.346957
173059986,-79.6744911,36.346875
173060004,-79.6763116,36.3472215
173060012,-79.67696,36.347115
173060034,-79.678273,36.347872
173060042,-79.679184,36.348747
173060050,-79.679749,36.349199
173060066,-79.67996,36.349845
173060071,-79.679842,36.351705
173060084,-79.679966,36.352958
173060106,-80.001987,36.48505
173060142,-79.999694,36.489611
173060156,-79.911475,36.474428
173060161,-79.911511,36.473848
173060163,-79.911515,36.47342
173060171,-79.60807,36.373915
173060183,-79.605835,36.373859
173060190,-79.973052,36.379829
173060258,-79.969365,36.380974
173060282,-79.94468,36.440824
173060403,-79.94589,36.442464
173060435,-79.690524,36.511397
173060440,-79.543073,36.344792
173060473,-79.543518,36.344923
173060483,-79.675609,36.372388
173060488,-79.674532,36.372693
173060506,-79.6293237,36.3171167
173060510,-79.849655,36.266957
173060524,-79.850588,36.269568
173060536,-79.851028,36.270653
173060541,-79.762614,36.526586
173060607,-79.762331,36.534561
173060632,-79.760446,36.535141
173060645,-79.759479,36.535697
173060667,-79.756416,36.535844
173060685,-79.709687,36.504599
173060687,-79.710147,36.505625
173060709,-79.892684,36.283213
173060765,-79.891372,36.293927
173060799,-79.8927802,36.3009436
173060852,-79.8981634,36.3033777
173060874,-79.900974,36.307114
173060916,-79.9073451,36.3126913
173061041,-79.9208142,36.3207211
173061071,-79.955794,36.404179
173061089,-79.956131,36.404325
173061096,-79.922458,36.463864
173061151,-79.909876,36.46688
173061157,-79.9077968,36.4668813
173061170,-79.829371,36.2576233
173061187,-79.83135,36.2575393
173061196,-79.980552,36.290448
173061245,-79.9811824,36.2953667
173061256,-79.980534,36.289716
173061267,-79.975187,36.405953
173061276,-79.972926,36.405853
173061284,-79.970948,36.405723
173061291,-79.741382,36.497058
173061306,-79.736539,36.498459
173061309,-79.741695,36.496979
173061314,-79.733977,36.49818
173061315,-79.734518,36.498355
173061319,-79.73654,36.498428
173061324,-79.738683,36.477065
173061347,-79.6413948,36.4573997
173061405,-79.994143,36.404504
173061427,-79.9965374,36.4012351
173061645,-79.586958,36.515723
173061681,-79.5377268,36.4507953
173061871,-79.615961,36.520001
173061873,-79.61615,36.520236
173061885,-79.617018,36.522046
173061956,-79.618409,36.520346
173061979,-79.6110578,36.5301091
173061989,-79.614085,36.532056
173062061,-79.603706,36.533551
173062121,-79.9826888,36.4520718
173062242,-79.8757602,36.2633565
173062512,-79.9413396,36.3791062
173062534,-79.942985,36.375229
173062593,-79.5370485,36.3569813
173062602,-79.5373948,36.3594051
173062624,-79.562173,36.389548
173062628,-79.562088,36.388818
173062734,-79.9779201,36.4834112
173062800,-79.967221,36.473936
173062939,-79.9756105,36.4119685
173062969,-79.5915221,36.5026059
