o_hex,d_hex,trips,travel_time
872a8b102ffffff,872a8bc28ffffff,1,37
872a8b102ffffff,872a8bc2affffff,5,36
872a8b102ffffff,872a8bc2bffffff,1,32
872a8b102ffffff,872a8bc2effffff,3,34
872a8b102ffffff,872a8bc41ffffff,2,23
872a8b102ffffff,872a8bc49ffffff,150,18
872a8b102ffffff,872a8bc4affffff,2,20
872a8b102ffffff,872a8bc4effffff,27,22
872a8b102ffffff,872a8bc50ffffff,1,33
872a8b104ffffff,872a8bc41ffffff,210,21
872a8b104ffffff,872a8bc4effffff,3,20
872a8b104ffffff,872a8bc50ffffff,6,31
872a8b110ffffff,872a8bc2bffffff,2,27
872a8b110ffffff,872a8bc41ffffff,7,16
872a8b110ffffff,872a8bc44ffffff,1,19
872a8b110ffffff,872a8bc4affffff,1,12
872a8b110ffffff,872a8bc4effffff,10,15
872a8b110ffffff,872a8bc51ffffff,3,20
872a8b112ffffff,872a8bc4effffff,1,19
872a8b113ffffff,872a8bc4affffff,5,14
872a8b113ffffff,872a8bc4effffff,7,17
872a8b114ffffff,872a8bc2affffff,1,25
872a8b114ffffff,872a8bc2effffff,2,24
872a8b114ffffff,872a8bc40ffffff,5,17
872a8b114ffffff,872a8bc41ffffff,30,12
872a8b116ffffff,872a8b116ffffff,1,0
872a8b116ffffff,872a8bc48ffffff,2,12
872a8b116ffffff,872a8bc4affffff,1,10
872a8b116ffffff,872a8bc4effffff,12,13
872a8b11effffff,872a8bc4affffff,101,16
872a8b11effffff,872a8bc4effffff,12,19
872a8b11effffff,872a8bc50ffffff,5,30
872a8b11effffff,872a8bc52ffffff,1,31
872a8b12affffff,872a8bc2affffff,1,39
872a8b12affffff,872a8bc41ffffff,1,26
872a8b12affffff,872a8bc4effffff,9,25
872a8b130ffffff,872a8bc4effffff,1,18
872a8b132ffffff,872a8bc4effffff,78,13
872a8b134ffffff,872a8bc4affffff,1,16
872a8b135ffffff,872a8bc4effffff,4,28
872a8b135ffffff,872a8bc50ffffff,8,41
872a8b135ffffff,872a8bc51ffffff,4,36
872a8b136ffffff,872a8bc41ffffff,1,16
872a8b136ffffff,872a8bc4affffff,15,18
872a8b136ffffff,872a8bc4effffff,16,18
872a8b136ffffff,872a8bcd2ffffff,3,44
872a8b185ffffff,872a8bc28ffffff,1,40
872a8b185ffffff,872a8bc2effffff,1,37
872a8b185ffffff,872a8bc4effffff,1,25
872a8b195ffffff,872a8bc40ffffff,9,27
872a8b195ffffff,872a8bc4effffff,1,22
872a8b195ffffff,872a8bc50ffffff,3,31
872a8b1a2ffffff,872a8bc2affffff,1,30
