request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
3,BasicRequest,1,0,0,76;-1;-1,70;-1;-1,,,,,1008.7049764995156,19310.043392902488,0:,,,,,,,,0
8,BasicRequest,1,0,0,77;-1;-1,87;-1;-1,,,,,1993.7719632557314,40523.28345933228,0:,,,,,,,,0
12,BasicRequest,1,0,0,77;-1;-1,82;-1;-1,,,,,1964.998396476076,40131.9850135896,0:,,,,,,,,0
18,BasicRequest,1,0,0,63;-1;-1,67;-1;-1,,,,,177.03207432264594,2703.9575782654374,0:,,,,,,,,0
22,BasicRequest,1,0,0,63;-1;-1,43;-1;-1,,,,,911.3974305078012,17423.836446062644,0:,,,,,,,,0
24,BasicRequest,1,0,0,66;-1;-1,154;-1;-1,,,,,1172.3301872239563,26396.54334388557,0:,,,,,,,,0
31,BasicRequest,1,0,0,63;-1;-1,43;-1;-1,,,,,911.3974305078012,17423.836446062644,0:,,,,,,,,0
34,BasicRequest,1,0,0,66;-1;-1,63;-1;-1,,,,,121.34066977298039,1853.3366049051801,0:,,,,,,,,0
35,BasicRequest,1,0,0,76;-1;-1,1;-1;-1,,,,,2573.189872440929,53302.29901507224,0:,,,,,,,,0
36,BasicRequest,1,0,0,76;-1;-1,88;-1;-1,,,,,1894.4857951236277,40505.761524005284,0:,,,,,,,,0
40,BasicRequest,1,0,0,76;-1;-1,51;-1;-1,,,,,1994.2789738240167,41038.32717782828,0:,,,,,,,,0
41,BasicRequest,1,0,0,77;-1;-1,125;-1;-1,,,,,2298.859726661115,48883.679520742575,0:,,,,,,,,0
47,BasicRequest,1,0,0,63;-1;-1,43;-1;-1,,,,,911.3974305078012,17423.836446062644,0:,,,,,,,,0
48,BasicRequest,1,0,0,62;-1;-1,70;-1;-1,,,,,978.4492359446217,21308.601575356333,0:,,,,,,,,0
51,BasicRequest,1,0,0,65;-1;-1,152;-1;-1,,,,,258.2627833865008,3944.661513987148,0:,,,,,,,,0
