sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.47176361083984375,0.0,0.0,0.016839981079101562,0.0,0.0,0.0,159,0,0,0.54192,0.48804
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25245000000000006,0.0
120,0.0,0.08355712890625,0.0,0.0,0.0,0.0,0.0,0.0,16,116,3,0.24708,0.08834
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26946000000000003,0.0
240,0.0,0.12397146224975586,0.0,0.0,0.002666950225830078,0.0,0.0,0.0,26,133,8,0.41638000000000003,0.12953
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2971499999999999,0.0
360,0.0,0.14917325973510742,0.0,0.0,0.0,0.0,0.0,0.0,29,164,10,0.46354,0.16143
420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24467999999999995,0.0
480,0.0,0.09591484069824219,0.0,0.0,0.01023554801940918,0.0,0.0,0.0,23,185,15,0.5366200000000001,0.09896
540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22399,0.0
600,0.0,0.16510677337646484,0.0,0.0,0.0020046234130859375,0.0,0.0,0.0,26,198,32,0.83297,0.16874
660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23713999999999996,0.0
720,0.0,0.15529370307922363,0.0,0.0,0.004146099090576172,0.0,0.0,0.0,33,228,37,0.69373,0.1607
780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3300600000000001,0.0
840,0.0,0.20636200904846191,0.0,0.0,0.0,0.0,0.0,0.0,32,264,45,0.5421699999999999,0.20891
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5897200000000001,0.0
960,0.0,0.19042444229125977,0.0,0.0,0.0,0.0,0.0,0.0,35,313,49,0.46886000000000005,0.19235
1020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35576,0.0
1080,0.0,0.22310161590576172,0.0,0.0,0.0,0.0,0.0,0.0,39,352,53,0.38914,0.22671
1140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5920399999999999,0.0
1200,0.0,0.19992756843566895,0.0,0.0,0.0020051002502441406,0.0,0.0,0.0,37,387,72,0.35058000000000006,0.20405
1260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2801400000000001,0.0
1320,0.0,0.22158241271972656,0.0,0.0,0.0020074844360351562,0.0,0.0,0.0,47,433,77,0.40984,0.22958
1380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5137600000000001,0.0
1440,0.0,0.1898491382598877,0.0,0.0,0.0,0.0,0.0,0.0,43,479,84,0.7286600000000002,0.18864
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4349800000000001,0.0
1560,0.0,0.2655515670776367,0.0,0.0,0.0017445087432861328,0.0,0.0,0.0,48,526,98,0.44793999999999995,0.27037
1620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7902,0.0
1680,0.0,0.332061767578125,0.0,0.0,0.002002716064453125,0.0,0.0,0.0,50,571,102,0.6962999999999999,0.33888
1740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51777,0.0
1800,0.0,0.2856004238128662,0.0,0.0,0.0,0.0,0.0,0.0,56,617,109,0.9794200000000002,0.29875
1860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8042400000000005,0.0
1920,0.0,0.3828399181365967,0.0,0.0,0.002007722854614258,0.0,0.0,0.0,55,667,123,0.6583900000000001,0.3978
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70711,0.0
2040,0.0,0.2025432586669922,0.0,0.0,0.0,0.0,0.0,0.0,48,712,129,0.4387799999999999,0.21522
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3164799999999999,0.0
2160,0.0,0.23906278610229492,0.0,0.0,0.0,0.0,0.0,0.0,50,752,131,0.67338,0.24422
2220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6956699999999999,0.0
2280,0.0,0.23672723770141602,0.0,0.0,0.0,0.0,0.0,0.0,52,782,149,0.38666,0.23186
2340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19434,0.0
2400,0.0,0.23211979866027832,0.0,0.0,0.0,0.0,0.0,0.0,54,816,162,0.4856899999999999,0.24278
2460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15973999999999997,0.0
2520,0.0,0.2320559024810791,0.0,0.0,0.0,0.0,0.0,0.0,46,879,163,0.2411099999999999,0.23985
2580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16573,0.0
2640,0.0,0.21142840385437012,0.0,0.0,0.0,0.0,0.0,0.0,42,930,164,0.40825000000000017,0.21766
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23095000000000002,0.0
2760,0.0,0.2598390579223633,0.0,0.0,0.0,0.0,0.0,0.0,58,977,171,0.38643,0.26584
2820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5030300000000002,0.0
2880,0.0,0.2875807285308838,0.0,0.0,0.0,0.0,0.0,0.0,47,1056,175,0.4277500000000001,0.28929
